CASE_ID,CATEGORY,CASE_TITLE,CASE_DESCRIPTION,LAST_UPDATE,STATUS,DATE_CREATED,DATE_CLOSED,REQUIRED_ESCALATION
CASE-79315,Payments and Billing,Duplicate Charges on My Credit Card After Purchase,"I noticed that after placing an order on your platform, my credit card was charged twice for the same amount. I'd like these duplicate charges to be resolved and the excess amount refunded immediately. Additionally, I need assistance to ensure this doesn't happen again in the future as it's quite concerning.","(""The duplicate charges have been refunded to the customer's credit card. Advised the customer to monitor their account over the next 3-5 business days to confirm receipt of the refund. Provided guidance on how to review and manage their payment methods in their account settings to prevent this issue in the future. No further action required at this time. Case closed."",)",Resolved,2024-05-16 16:42:18.827004,2024-05-19 12:59:26.827004,False
CASE-33216,Shipping and Delivery,Package Not Delivered Even After Estimated Date Passed,"I ordered a laptop two weeks ago and the estimated delivery date has already passed, but I haven't received my package yet. The tracking number shows no updates for the last five days. I urgently need this laptop for work. Please assist.","('The package was located and confirmed to be delivered to the wrong address. We have arranged for the item to be sent to the correct address and assured expedited delivery. The customer has been informed and is satisfied with the resolution.',)",Resolved,2024-03-29 15:19:56.827004,2024-03-30 06:17:24.827004,False
CASE-92234,Shipping and Delivery,"Parcel never arrived, tracking shows delivered","I placed an order two weeks ago, and the tracking information indicates that my package was delivered five days ago. However, I never received the parcel, and it was not left at my doorstep. I have checked with my neighbors, and they didn't receive it either. Please help locate my missing package.","('The case was resolved by issuing a full refund to the customer and initiating an investigation with the courier service. The customer has been informed and is satisfied with the resolution.',)",Resolved,2024-03-17 01:03:05.827004,2024-03-22 05:03:22.827004,False
CASE-85333,Shipping and Delivery,Order Stuck in Transit for Over 2 Weeks,"I placed an order on September 5th, and it was supposed to arrive within 5-7 business days. However, it has been more than two weeks, and the tracking status has not been updated since September 10th. The package seems to be stuck at a distribution center. I need this item urgently. Please help expedite the delivery or provide a full refund.","('We have contacted the shipping carrier, and they have confirmed the package was lost in transit. A replacement order has been processed with expedited shipping at no additional cost to you. You should receive it within 2 business days. We apologize for the inconvenience caused.',)",Resolved,2024-05-13 01:23:32.827004,2024-05-17 21:08:44.827004,False
CASE-35587,Product Inquiry,Inquiry about availability of the new Bluetooth headphones,"Hello, I am interested in purchasing the new Bluetooth headphones listed on your website. However, I am unable to find detailed information about their stock availability and the estimated delivery time. Could you please provide more details? Also, do you offer any extended warranty or discount options for first-time buyers?","('The agent informed the customer that the headphones are currently in stock and can be shipped within 3-5 business days. They also provided details about a 10% discount for first-time buyers and explained the available extended warranty options.',)",Open,2024-04-15 14:49:08.827004,2024-04-15 16:25:50.827004,False
CASE-65846,Technical Support,Unable to complete checkout due to error code 345,"When trying to complete the checkout process on your eCommerce platform, I keep encountering an error code 345 at the final step. I have attempted this multiple times with different payment methods and browsers, but the issue persists. Can you please help resolve this issue? It is preventing me from making any purchases.","('Our technical team identified the issue as being related to a payment gateway timeout. We have applied a fix and monitored the system to ensure it is stable. Please attempt the checkout process again and let us know if you encounter any further issues.',)",Resolved,2024-05-10 08:59:38.827004,2024-05-16 13:06:58.827004,False
CASE-65594,Shipping and Delivery,Missing package after delivery date,"I placed an order on October 5th and it was supposed to arrive by October 12th. However, I still haven't received my package and the tracking information hasn't been updated for several days. Can you please help me find out where my package is?","('The package was located at the local sorting facility and has now been expedited for delivery. The customer has been notified and provided with the latest tracking information.',)",Resolved,2024-04-05 19:35:39.827004,2024-04-09 23:01:18.827004,False
CASE-73434,Shipping and Delivery,Order not delivered despite tracking showing 'in transit',"I placed an order two weeks ago and the tracking information has continuously shown it as 'in transit'. There have been no updates for over a week, and I am concerned that my package may be lost. Can you please look into this and provide an update on the delivery status?","('We have contacted the shipping carrier and it appears there was a delay at the sorting facility. The package has now been expedited and should arrive within the next two days. We apologize for the inconvenience and appreciate your patience.',)",Resolved,2024-05-28 07:28:29.827004,2024-06-04 05:15:31.827004,True
CASE-53363,Product Inquiry,Inquiry About Product Availability in Specific Size,"I am looking to purchase the XYZ running shoes in size 11, but it seems to be out of stock for the past week. Can you please confirm when it will be available again, or if there is any way to backorder this size?","('The inventory team has updated the stock, and size 11 is now available. Please check the product page to place your order. Let us know if you need any further assistance.',)",Resolved,2024-05-08 02:44:08.827004,2024-05-13 23:38:26.827004,False
CASE-58422,Order Issues,Missing Item in Order #12345,"I recently placed an order for several items, but when the package arrived, one of the items was missing. I ordered a set of wireless headphones, but it's not in the box. The packing slip shows it was supposed to be included. Can you please help me with this issue?","('We apologize for the inconvenience. We have confirmed that the headphones were not included in your shipment. A replacement order has been processed and will be shipped out to you within the next 2-3 business days. Thank you for your patience.',)",Resolved,2024-06-13 23:02:00.827004,2024-06-15 17:25:07.827004,False
CASE-50141,Promotions and Discounts,Promo Code Not Applying Discount at Checkout,"Hi, I tried to use the promo code SAVE20 at checkout to get a 20% discount on my order. However, the discount wasn't applied when I entered the code. I've double-checked and the code should be valid until the end of this month. Can you please help me apply the discount to my current order or let me know why the code isn't working?","(""The issue was resolved by verifying the promo code's validity period and re-applying it to the customer's account. The customer confirmed that the discount was successfully applied at checkout."",)",Resolved,2024-05-12 07:53:45.827004,2024-05-16 19:06:46.827004,False
CASE-52130,Shipping and Delivery,Order Marked Delivered but Not Received,"I placed an order on September 15th and the tracking information says it was delivered two days ago, but I have not received the package. I checked with my neighbors and they haven't seen it either. Can you help me locate my order or issue a replacement?","('The tracking info shows the package was delivered to the wrong address. We have contacted the carrier and initiated a reshipment of your order at no additional cost. You should receive it within 3-5 business days. Apologies for the inconvenience.',)",Resolved,2024-05-14 23:20:26.827004,2024-05-18 04:16:14.827004,False
CASE-17919,Shipping and Delivery,Delayed Package Delivery Beyond Expected Date,"I ordered a set of kitchen utensils on October 1st and the expected delivery date was October 10th. However, it is now October 15th and I have not yet received my package. Tracking information has not been updated since October 8th. I need these utensils urgently as I have a big family gathering coming up this weekend. Please help resolve this issue as soon as possible.","('Support has contacted the shipping carrier to escalate the delivery process. The package was located and is expected to be delivered by tomorrow. We offered the customer a 15% discount on their next purchase as a goodwill gesture.',)",Resolved,2024-05-10 09:53:18.827004,2024-05-14 07:07:18.827004,False
CASE-83052,Shipping and Delivery,Order Delayed Beyond Expected Delivery Date,"I placed an order two weeks ago, and the expected delivery date was last week. However, I still haven't received the package. The tracking information has not been updated for several days, and I'm getting concerned. Can you please provide an update on the status of my shipment?","(""The customer's package was delayed due to an issue with the carrier. The shipment has now been expedited and is expected to arrive within two days. The customer has been notified and provided with a new tracking number."",)",Closed,2024-03-19 01:05:09.827004,2024-03-24 07:44:10.827004,False
CASE-51307,Account Management,Issue Logging into My Account After Password Reset,"I recently changed my password and now I am unable to log into my account. Every time I try, it says my credentials are incorrect. I tried using the password reset link again, but it did not work. Can you please help me resolve this issue? I need access to my account urgently to check the status of my recent orders. Thank you.","(""Support agent reset the user's password and verified that the user was able to log in successfully. Provided instructions on how to change the password to something more memorable and offered additional assistance if needed."",)",Open,2024-04-28 04:37:21.827004,2024-04-28 17:53:24.827004,False
CASE-21806,Product Inquiry,Question about size options for Summer Collection,"Hello, I was looking at the Summer Collection on your website and I noticed that some of the items don't have size XL available. Could you please confirm if this size will be restocked soon or if it is permanently unavailable? I'm particularly interested in the floral sundress and the linen shorts. Thanks!","('Hello, thank you for your inquiry. We have checked with our inventory team, and unfortunately, the size XL for the floral sundress and the linen shorts in the Summer Collection is currently out of stock. We expect a restock within the next two weeks. Please check back soon or sign up for notifications on the product page for updates. If you have any more questions, feel free to reach out. Best, Support Team.',)",Resolved,2024-06-18 09:31:54.827004,2024-06-18 10:17:18.827004,False
CASE-77602,Order Issues,Product Missing from Delivered Order: Urgent Assistance Required,"I received my order today but one of the items, a pair of running shoes, was missing from the package. All other items were delivered correctly. My order number is #123456. Please resolve this issue as soon as possible.","('The missing item has been identified and a replacement pair of running shoes has been shipped. You should receive them within the next 3-5 business days. We apologize for the inconvenience caused.',)",Resolved,2024-06-18 08:07:29.827004,2024-06-22 07:27:37.827004,False
CASE-23302,Shipping and Delivery,Package Not Delivered Despite Out for Delivery Status,"I received a notification that my package was out for delivery yesterday, but it never arrived. The tracking information hasn't been updated since then. Can you help locate my package?","('Support agent confirmed the package was delayed due to a logistical error and has been rescheduled for delivery within the next 48 hours.',)",Resolved,2024-03-13 02:41:31.827004,2024-03-19 06:56:58.827004,False
CASE-37076,Shipping and Delivery,Expedited Shipping Order Delayed Beyond Promised Date,"I placed an order with expedited shipping expecting it to arrive within two days as promised on your website. However, it has been five days and I still haven't received my package. The tracking number provided shows no updates since the order was shipped. I need this item urgently and need to know what is causing the delay.","('Our support team contacted the shipping carrier and discovered there was an unexpected delay due to weather conditions. We have issued a partial refund for the shipping costs and provided a coupon for future purchases. The package is now in transit and estimated to arrive within the next 24 hours.',)",Resolved,2024-03-14 20:00:01.827004,2024-03-17 22:05:44.827004,True
